timestamp,count
2023-01-01,84
2023-01-02,225
2023-01-03,228
2023-01-04,207
2023-01-05,174
2023-01-06,215
2023-01-07,95
2023-01-08,85
2023-01-09,201
2023-01-10,203
2023-01-11,189
2023-01-12,222
2023-01-13,194
2023-01-14,97
2023-01-15,78
2023-01-16,209
2023-01-17,210
2023-01-18,170
2023-01-19,216
2023-01-20,195
2023-01-21,96
2023-01-22,75
2023-01-23,257
2023-01-24,230
2023-01-25,212
2023-01-26,179
2023-01-27,184
2023-01-28,76
2023-01-29,70
2023-01-30,238
2023-01-31,221
2023-02-01,225
2023-02-02,187
2023-02-03,180
2023-02-04,88
2023-02-05,71
2023-02-06,201
2023-02-07,204
2023-02-08,181
2023-02-09,206
2023-02-10,184
2023-02-11,98
2023-02-12,83
2023-02-13,215
2023-02-14,228
2023-02-15,215
2023-02-16,190
2023-02-17,174
2023-02-18,93
2023-02-19,71
2023-02-20,206
2023-02-21,175
2023-02-22,214
2023-02-23,207
2023-02-24,198
2023-02-25,95
2023-02-26,79
2023-02-27,231
2023-02-28,183
2023-03-01,173
2023-03-02,206
2023-03-03,184
2023-03-04,90
2023-03-05,85
2023-03-06,235
2023-03-07,209
2023-03-08,200
2023-03-09,184
2023-03-10,160
2023-03-11,86
2023-03-12,72
2023-03-13,219
2023-03-14,229
2023-03-15,181
2023-03-16,170
2023-03-17,175
2023-03-18,82
2023-03-19,82
2023-03-20,229
2023-03-21,224
2023-03-22,206
2023-03-23,190
2023-03-24,204
2023-03-25,79
2023-03-26,67
2023-03-27,198
2023-03-28,220
2023-03-29,195
2023-03-30,176
2023-03-31,188
2023-04-01,79
2023-04-02,83
2023-04-03,222
2023-04-04,198
2023-04-05,184
2023-04-06,204
2023-04-07,178
2023-04-08,77
2023-04-09,72
2023-04-10,257
2023-04-11,231
2023-04-12,208
2023-04-13,182
2023-04-14,213
2023-04-15,96
2023-04-16,84
2023-04-17,222
2023-04-18,193
2023-04-19,172
2023-04-20,221
2023-04-21,184
2023-04-22,80
2023-04-23,73
2023-04-24,232
2023-04-25,188
2023-04-26,217
2023-04-27,211
2023-04-28,198
2023-04-29,86
2023-04-30,81
2023-05-01,231
2023-05-02,216
2023-05-03,171
2023-05-04,191
2023-05-05,160
2023-05-06,88
2023-05-07,74
2023-05-08,201
2023-05-09,181
2023-05-10,201
2023-05-11,176
2023-05-12,211
2023-05-13,91
2023-05-14,74
2023-05-15,231
2023-05-16,177
2023-05-17,224
2023-05-18,196
2023-05-19,202
2023-05-20,78
2023-05-21,78
2023-05-22,225
2023-05-23,234
2023-05-24,200
2023-05-25,194
2023-05-26,173
2023-05-27,83
2023-05-28,79
2023-05-29,221
2023-05-30,177
2023-05-31,215
2023-06-01,219
2023-06-02,167
2023-06-03,89
2023-06-04,70
2023-06-05,237
2023-06-06,193
2023-06-07,205
2023-06-08,209
2023-06-09,202
2023-06-10,77
2023-06-11,89
2023-06-12,208
2023-06-13,178
2023-06-14,200
2023-06-15,189
2023-06-16,207
2023-06-17,97
2023-06-18,74
2023-06-19,256
2023-06-20,193
2023-06-21,197
2023-06-22,181
2023-06-23,210
2023-06-24,81
2023-06-25,67
2023-06-26,221
2023-06-27,236
2023-06-28,219
2023-06-29,211
2023-06-30,208
2023-07-01,98
2023-07-02,78
2023-07-03,214
2023-07-04,222
2023-07-05,206
2023-07-06,188
2023-07-07,164
2023-07-08,94
2023-07-09,72
2023-07-10,256
2023-07-11,190
2023-07-12,174
2023-07-13,216
2023-07-14,167
2023-07-15,79
2023-07-16,81
2023-07-17,252
2023-07-18,189
2023-07-19,186
2023-07-20,212
2023-07-21,213
2023-07-22,89
2023-07-23,70
2023-07-24,192
2023-07-25,189
2023-07-26,174
2023-07-27,206
2023-07-28,165
2023-07-29,88
2023-07-30,83
2023-07-31,231
2023-08-01,187
2023-08-02,214
2023-08-03,210
2023-08-04,200
2023-08-05,78
2023-08-06,69
2023-08-07,254
2023-08-08,199
2023-08-09,185
2023-08-10,195
2023-08-11,196
2023-08-12,101
2023-08-13,74
2023-08-14,254
2023-08-15,177
2023-08-16,199
2023-08-17,204
2023-08-18,165
2023-08-19,79
2023-08-20,77
2023-08-21,257
2023-08-22,212
2023-08-23,221
2023-08-24,214
2023-08-25,185
2023-08-26,96
2023-08-27,68
2023-08-28,199
2023-08-29,226
2023-08-30,213
2023-08-31,182
2023-09-01,189
2023-09-02,92
2023-09-03,87
2023-09-04,232
2023-09-05,201
2023-09-06,188
2023-09-07,193
2023-09-08,195
2023-09-09,98
2023-09-10,77
2023-09-11,209
2023-09-12,190
2023-09-13,210
2023-09-14,215
2023-09-15,164
2023-09-16,78
2023-09-17,80
2023-09-18,201
2023-09-19,227
2023-09-20,185
2023-09-21,176
2023-09-22,210
2023-09-23,82
2023-09-24,73
2023-09-25,203
2023-09-26,185
2023-09-27,168
2023-09-28,170
2023-09-29,169
2023-09-30,77
